Candidate_ID,Role_Applied,Department,Source,Application_Date,Screening_Date,Interview_Date,Offer_Date,Hire_Date,Final_Status
C00875,Marketing Specialist,HR,LinkedIn,2024-12-25,2024-12-30,2025-01-04,2025-01-10,2025-01-24,Hired
C00876,HR Manager,Tech,Referral,2025-03-22,2025-03-30,,,,Hired
C00877,Product Manager,Product,Naukri,2025-04-19,2025-04-24,,,,Dropped
C00878,Software Engineer,Product,Naukri,2024-03-30,2024-04-06,2024-04-11,2024-04-20,,Dropped
C00879,HR Manager,Marketing,AngelList,2025-04-22,2025-04-26,2025-05-11,,,Hired
C00880,Product Manager,Tech,LinkedIn,2024-07-04,2024-07-09,2024-07-20,2024-07-28,2024-08-10,Hired
C00881,Data Scientist,Marketing,AngelList,2024-02-13,2024-02-21,2024-02-28,2024-03-04,2024-03-20,Hired
C00882,HR Manager,Product,LinkedIn,2024-07-28,2024-07-29,2024-08-01,,,Rejected
C00883,Data Scientist,Tech,AngelList,2023-09-17,2023-09-23,2023-09-26,2023-10-01,,Rejected
C00884,Product Manager,Tech,Referral,2024-10-04,2024-10-10,2024-10-12,2024-10-13,,Rejected
C00885,Product Manager,Tech,Referral,2025-02-01,2025-02-11,2025-02-19,2025-03-01,,Dropped
C00886,Product Manager,Tech,Company Website,2023-12-14,2023-12-22,2023-12-30,2024-01-04,,Dropped
C00887,Product Manager,Marketing,AngelList,2025-05-12,2025-05-13,2025-05-24,2025-05-30,,Dropped
C00888,Sales Executive,Sales,Referral,2024-04-26,2024-05-03,2024-05-06,2024-05-15,,Dropped
C00889,Marketing Specialist,Tech,Company Website,2024-06-16,2024-06-20,2024-06-27,2024-07-02,,Rejected
C00890,Product Manager,HR,LinkedIn,2025-08-29,,,,,Rejected
C00891,Sales Executive,Tech,LinkedIn,2024-03-27,2024-04-04,,,,Dropped
C00892,Software Engineer,Marketing,LinkedIn,2024-10-12,2024-10-19,2024-10-20,,,Hired
C00893,Sales Executive,Tech,Naukri,2024-08-19,2024-08-21,2024-08-22,,,Hired
C00894,Data Scientist,Sales,AngelList,2024-08-15,2024-08-19,2024-09-02,2024-09-06,,Rejected
C00895,Software Engineer,Product,Company Website,2025-07-07,2025-07-09,,,,Dropped
C00896,Data Scientist,Marketing,Naukri,2025-03-24,2025-04-02,2025-04-03,2025-04-08,,Dropped
C00897,Marketing Specialist,Tech,AngelList,2024-05-24,2024-05-30,2024-06-07,2024-06-10,,Rejected
C00898,HR Manager,Tech,AngelList,2023-11-17,2023-11-23,,,,Hired
C00899,HR Manager,Tech,AngelList,2024-05-03,2024-05-09,,,,Rejected
C00900,Sales Executive,Product,AngelList,2023-11-12,2023-11-22,2023-11-27,2023-12-06,,Dropped
C00901,Data Scientist,Tech,Naukri,2024-10-13,2024-10-15,2024-10-25,2024-10-29,,Dropped
C00902,Marketing Specialist,Sales,Company Website,2024-09-03,2024-09-11,2024-09-13,2024-09-19,2024-10-01,Hired
C00903,HR Manager,Marketing,Referral,2025-05-01,2025-05-08,2025-05-15,2025-05-19,,Dropped
C00904,Marketing Specialist,Marketing,Referral,2024-09-12,2024-09-16,2024-09-25,2024-10-05,,Rejected
C00905,Marketing Specialist,Tech,Company Website,2024-11-03,2024-11-12,2024-11-17,,,Rejected
C00906,HR Manager,Product,Referral,2025-03-06,2025-03-09,2025-03-20,2025-03-21,,Rejected
C00907,HR Manager,Marketing,Naukri,2024-03-30,2024-04-09,2024-04-19,2024-04-26,,Dropped
C00908,Software Engineer,HR,Naukri,2023-11-29,2023-12-06,2023-12-11,2023-12-18,2023-12-24,Hired
C00909,Software Engineer,Product,AngelList,2024-04-09,2024-04-16,2024-04-27,2024-05-02,,Rejected
C00910,Product Manager,Product,Company Website,2025-01-27,2025-02-05,2025-02-19,,,Hired
C00911,Data Scientist,Tech,AngelList,2025-01-18,2025-01-26,,,,Dropped
C00912,HR Manager,Marketing,Naukri,2025-01-05,2025-01-15,2025-01-16,,,Hired
C00913,Marketing Specialist,Marketing,Naukri,2025-09-04,2025-09-07,2025-09-22,2025-09-30,2025-10-03,Hired
C00914,Data Scientist,Marketing,Naukri,2024-05-08,2024-05-09,2024-05-19,2024-05-22,2024-05-23,Hired
C00915,Product Manager,Marketing,Company Website,2025-01-08,2025-01-16,,,,Hired
C00916,Marketing Specialist,Product,Company Website,2024-10-09,2024-10-11,2024-10-24,2024-10-26,,Rejected
C00917,Sales Executive,Product,AngelList,2024-12-15,2024-12-20,2025-01-01,2025-01-04,,Dropped
C00918,Product Manager,Tech,Referral,2024-12-23,2024-12-28,2024-12-31,,,Hired
C00919,HR Manager,Sales,Naukri,2025-03-09,,,,,Rejected
C00920,Sales Executive,Tech,Naukri,2024-08-24,2024-08-31,2024-09-13,,,Rejected
C00921,Sales Executive,Marketing,Company Website,2025-03-21,2025-03-27,,,,Hired
C00922,Product Manager,Product,Company Website,2025-02-14,2025-02-18,2025-02-25,,,Dropped
C00923,HR Manager,Sales,LinkedIn,2025-07-13,2025-07-22,,,,Rejected
C00924,Marketing Specialist,Product,AngelList,2024-05-09,2024-05-13,,,,Rejected
C00925,Sales Executive,HR,Referral,2025-06-10,2025-06-16,2025-06-26,2025-07-01,,Rejected
C00926,Product Manager,Tech,Naukri,2024-09-25,,,,,Hired
C00927,Product Manager,Tech,AngelList,2024-05-15,2024-05-18,,,,Rejected
C00928,Marketing Specialist,Tech,LinkedIn,2023-10-07,2023-10-16,2023-10-29,2023-10-30,,Rejected
C00929,HR Manager,Product,AngelList,2024-01-19,2024-01-25,,,,Hired
C00930,Product Manager,Tech,Naukri,2024-01-30,2024-02-09,2024-02-23,,,Rejected
C00931,Product Manager,Product,Company Website,2025-07-16,2025-07-17,2025-07-28,2025-08-07,2025-08-27,Hired
C00932,Product Manager,HR,AngelList,2025-02-03,2025-02-04,,,,Hired
C00933,Data Scientist,Product,Referral,2024-08-21,2024-08-26,2024-08-30,,,Rejected
C00934,Software Engineer,HR,Naukri,2024-08-29,2024-08-30,2024-09-01,2024-09-04,2024-09-12,Hired
C00935,Marketing Specialist,Product,AngelList,2023-12-03,2023-12-07,2023-12-10,2023-12-18,,Rejected
C00936,Data Scientist,Sales,Referral,2025-07-15,2025-07-19,2025-07-25,2025-08-02,,Rejected
C00937,Product Manager,Sales,Naukri,2024-02-07,2024-02-15,,,,Rejected
C00938,Software Engineer,Marketing,Company Website,2025-05-10,2025-05-14,2025-05-19,2025-05-21,2025-05-31,Hired
C00939,Marketing Specialist,Marketing,Naukri,2024-01-31,2024-02-02,,,,Hired
C00940,Sales Executive,Product,Referral,2023-12-11,2023-12-18,,,,Rejected
C00941,Marketing Specialist,Marketing,Company Website,2025-08-24,2025-08-28,2025-09-10,2025-09-13,,Rejected
C00942,Data Scientist,HR,Naukri,2023-10-20,2023-10-23,2023-10-24,2023-10-26,,Dropped
C00943,Data Scientist,HR,Naukri,2024-06-05,2024-06-07,2024-06-12,2024-06-16,,Rejected
C00944,Data Scientist,HR,AngelList,2024-09-20,2024-09-30,,,,Rejected
C00945,Marketing Specialist,Tech,Company Website,2025-04-04,2025-04-14,2025-04-23,2025-04-29,,Rejected
C00946,HR Manager,Tech,Company Website,2025-02-24,2025-03-01,2025-03-09,,,Dropped
C00947,Product Manager,HR,AngelList,2025-06-25,2025-07-05,,,,Rejected
C00948,Marketing Specialist,Sales,LinkedIn,2023-10-27,2023-11-06,2023-11-10,2023-11-12,,Rejected
C00949,Sales Executive,Product,Naukri,2024-06-20,2024-06-22,,,,Rejected
C00950,Sales Executive,Marketing,Company Website,2025-04-05,2025-04-15,2025-04-27,2025-05-03,,Dropped
C00951,Sales Executive,Product,LinkedIn,2025-02-28,2025-03-02,2025-03-15,,,Rejected
C00952,Product Manager,Sales,Company Website,2024-11-23,2024-11-25,2024-12-06,,,Dropped
C00953,Software Engineer,Sales,Referral,2024-07-20,2024-07-27,2024-08-08,2024-08-18,,Rejected
C00954,Data Scientist,Product,AngelList,2024-12-24,,,,,Dropped
C00955,Product Manager,Product,AngelList,2025-06-10,,,,,Rejected
C00956,Data Scientist,HR,LinkedIn,2024-12-20,2024-12-25,,,,Hired
C00957,Product Manager,HR,Referral,2025-09-02,2025-09-06,2025-09-11,,,Hired
C00958,Data Scientist,Marketing,Company Website,2024-01-05,2024-01-15,2024-01-22,2024-01-27,,Rejected
C00959,Product Manager,Sales,AngelList,2025-08-31,2025-09-01,2025-09-09,2025-09-12,,Dropped
C00960,Software Engineer,Product,Referral,2023-11-28,2023-12-06,2023-12-15,,,Rejected
C00961,Marketing Specialist,Sales,Company Website,2024-08-11,2024-08-20,,,,Dropped
C00962,Sales Executive,Sales,AngelList,2024-08-31,2024-09-08,2024-09-14,2024-09-16,,Rejected
C00963,Data Scientist,Sales,LinkedIn,2025-02-28,,,,,Hired
C00964,Product Manager,Tech,Company Website,2024-12-25,2024-12-29,2025-01-04,,,Hired
C00965,Software Engineer,Product,AngelList,2024-10-05,,,,,Rejected
C00966,Software Engineer,Product,Referral,2024-02-14,2024-02-15,2024-02-19,2024-02-22,,Rejected
C00967,Sales Executive,HR,AngelList,2025-06-06,2025-06-13,2025-06-21,2025-06-27,,Dropped
C00968,Product Manager,Tech,AngelList,2025-03-15,2025-03-21,2025-03-23,2025-04-01,2025-04-11,Hired
C00969,Marketing Specialist,HR,Naukri,2023-10-18,2023-10-19,2023-10-24,2023-10-28,,Rejected
C00970,Data Scientist,Product,LinkedIn,2024-02-07,2024-02-12,2024-02-18,2024-02-25,2024-03-13,Hired
C00971,Marketing Specialist,Product,Naukri,2024-11-01,2024-11-03,2024-11-15,2024-11-19,,Rejected
C00972,HR Manager,Tech,AngelList,2025-07-27,2025-08-04,2025-08-08,2025-08-10,,Dropped
C00973,Software Engineer,Marketing,Company Website,2025-05-04,2025-05-13,2025-05-26,2025-06-03,2025-06-16,Hired
C00974,Software Engineer,Sales,LinkedIn,2024-04-27,2024-05-04,2024-05-18,2024-05-28,,Dropped
C00975,Sales Executive,HR,Company Website,2024-07-17,2024-07-24,,,,Rejected
C00976,Product Manager,HR,Company Website,2023-09-24,2023-09-28,2023-10-06,2023-10-09,,Rejected
C00977,HR Manager,HR,LinkedIn,2024-03-19,2024-03-26,2024-04-04,,,Rejected
C00978,HR Manager,Tech,LinkedIn,2024-11-21,2024-11-22,2024-11-25,2024-11-28,,Dropped
C00979,HR Manager,Sales,Referral,2024-03-28,2024-04-02,2024-04-10,2024-04-16,,Rejected
C00980,Product Manager,HR,Company Website,2024-06-16,2024-06-20,2024-06-23,,,Hired
C00981,Data Scientist,Marketing,Referral,2024-04-20,2024-04-21,2024-04-26,,,Hired
C00982,Software Engineer,Marketing,Naukri,2025-08-19,2025-08-23,,,,Dropped
C00983,Product Manager,Product,LinkedIn,2024-04-06,2024-04-14,,,,Hired
C00984,HR Manager,Sales,Naukri,2024-01-29,,,,,Rejected
C00985,Software Engineer,Product,Company Website,2025-05-25,2025-05-28,,,,Hired
C00986,Software Engineer,Product,AngelList,2025-01-27,2025-01-29,,,,Rejected
C00987,HR Manager,Sales,Company Website,2024-11-28,2024-12-04,2024-12-07,2024-12-11,,Rejected
C00988,HR Manager,Product,Naukri,2024-04-19,2024-04-22,2024-04-28,,,Dropped
C00989,Software Engineer,Sales,AngelList,2024-12-20,2024-12-25,2025-01-09,,,Rejected
C00990,Sales Executive,Marketing,LinkedIn,2025-03-13,2025-03-21,2025-04-01,2025-04-11,2025-04-22,Hired
C00991,Marketing Specialist,Sales,LinkedIn,2024-02-18,2024-02-19,2024-02-27,2024-03-02,,Dropped
C00992,Marketing Specialist,HR,AngelList,2023-11-21,2023-11-26,2023-12-03,2023-12-13,2023-12-14,Hired
C00993,Software Engineer,Tech,Naukri,2024-07-14,,,,,Dropped
C00994,Data Scientist,Marketing,Referral,2024-08-14,2024-08-23,,,,Rejected
C00995,Data Scientist,Tech,AngelList,2023-12-28,2024-01-04,2024-01-11,2024-01-20,,Dropped
C00996,Sales Executive,Marketing,LinkedIn,2024-05-09,2024-05-10,2024-05-20,2024-05-24,2024-06-10,Hired
C00997,Product Manager,HR,AngelList,2025-01-12,2025-01-15,2025-01-27,2025-01-28,,Dropped
C00998,Software Engineer,Tech,AngelList,2025-07-19,2025-07-25,2025-07-31,2025-08-07,,Rejected
C00999,Data Scientist,HR,Referral,2024-07-26,2024-08-03,2024-08-10,2024-08-13,,Dropped
C01000,Software Engineer,HR,LinkedIn,2025-06-15,2025-06-18,2025-06-30,2025-07-08,2025-07-16,Hired
C01001,Sales Executive,Marketing,AngelList,2024-12-14,2024-12-19,2025-01-03,2025-01-12,,Rejected
C01002,HR Manager,Product,AngelList,2024-05-05,2024-05-15,2024-05-23,2024-05-28,,Dropped
C01003,Sales Executive,HR,Naukri,2025-06-28,2025-07-02,2025-07-13,,,Rejected
C01004,Sales Executive,HR,LinkedIn,2024-03-31,2024-04-07,2024-04-09,,,Hired
C01005,Sales Executive,Marketing,Naukri,2024-10-25,2024-10-30,2024-11-11,2024-11-20,2024-11-22,Hired
C01006,Data Scientist,Sales,Naukri,2024-02-21,2024-03-01,2024-03-10,2024-03-17,2024-04-03,Hired
C01007,Sales Executive,Marketing,AngelList,2025-03-28,2025-04-05,2025-04-15,2025-04-20,,Dropped
C01008,HR Manager,HR,Company Website,2024-07-09,2024-07-19,2024-07-24,2024-07-28,2024-08-17,Hired
C01009,HR Manager,Marketing,Naukri,2025-02-15,2025-02-24,2025-03-06,2025-03-13,,Rejected
C01010,HR Manager,HR,Referral,2025-04-29,2025-05-03,2025-05-08,,,Rejected
C01011,Product Manager,Tech,Referral,2024-04-14,2024-04-23,2024-05-04,,,Dropped
C01012,Sales Executive,Sales,Company Website,2023-11-19,2023-11-23,2023-11-25,2023-11-29,,Rejected
C01013,HR Manager,Tech,LinkedIn,2025-03-31,2025-04-07,2025-04-20,,,Hired
C01014,Product Manager,Tech,Naukri,2024-03-29,2024-04-02,2024-04-10,2024-04-14,2024-05-04,Hired
C01015,Sales Executive,Sales,Referral,2025-03-01,2025-03-02,,,,Hired
C01016,Sales Executive,Tech,Referral,2025-06-19,2025-06-22,,,,Hired
C01017,Software Engineer,Product,AngelList,2023-12-18,2023-12-20,2023-12-22,2023-12-28,,Rejected
C01018,Sales Executive,Tech,LinkedIn,2024-11-14,2024-11-15,2024-11-19,2024-11-25,,Rejected
C01019,Marketing Specialist,HR,LinkedIn,2025-01-22,2025-01-24,2025-01-28,2025-02-04,,Rejected
C01020,Software Engineer,Sales,Company Website,2024-12-11,2024-12-15,2024-12-20,2024-12-30,,Dropped
C01021,Data Scientist,Marketing,AngelList,2025-07-04,2025-07-06,,,,Dropped
C01022,Marketing Specialist,HR,Naukri,2025-07-09,,,,,Dropped
C01023,Data Scientist,Product,LinkedIn,2025-09-10,2025-09-19,2025-09-26,2025-09-27,,Dropped
C01024,Product Manager,Sales,AngelList,2024-01-16,2024-01-19,2024-01-29,,,Dropped
C01025,Marketing Specialist,Tech,LinkedIn,2024-05-11,2024-05-15,,,,Dropped
C01026,Software Engineer,Tech,LinkedIn,2024-10-28,2024-11-05,2024-11-12,2024-11-13,2024-11-14,Hired
C01027,Data Scientist,HR,AngelList,2025-07-02,2025-07-04,2025-07-15,2025-07-17,,Rejected
C01028,Data Scientist,HR,Naukri,2025-02-16,2025-02-23,2025-03-09,2025-03-13,,Rejected
C01029,Data Scientist,Sales,Referral,2024-10-09,2024-10-12,2024-10-26,2024-10-30,,Rejected
C01030,Sales Executive,HR,Referral,2023-10-04,2023-10-08,2023-10-17,2023-10-25,,Dropped
C01031,Software Engineer,HR,Company Website,2025-09-12,2025-09-14,2025-09-26,2025-10-03,,Dropped
C01032,Data Scientist,Sales,Company Website,2025-07-18,2025-07-20,2025-07-31,,,Rejected
C01033,Software Engineer,HR,LinkedIn,2024-04-13,2024-04-22,2024-04-25,2024-05-04,2024-05-10,Hired
C01034,HR Manager,Sales,Company Website,2024-05-24,2024-05-29,,,,Rejected
C01035,HR Manager,Product,Company Website,2024-10-29,2024-11-07,,,,Hired
C01036,Marketing Specialist,HR,Referral,2024-01-18,2024-01-22,2024-02-03,2024-02-05,,Dropped
C01037,Sales Executive,HR,Company Website,2025-07-08,2025-07-12,,,,Rejected
C01038,HR Manager,HR,LinkedIn,2025-02-13,2025-02-14,,,,Dropped
C01039,Product Manager,Tech,Company Website,2024-03-16,2024-03-20,,,,Dropped
C01040,Software Engineer,HR,Naukri,2024-10-16,2024-10-25,2024-11-05,2024-11-11,2024-11-17,Hired
C01041,Data Scientist,Sales,Referral,2025-06-12,2025-06-19,,,,Rejected
C01042,Product Manager,Tech,LinkedIn,2025-03-21,2025-03-22,2025-03-24,,,Hired
C01043,Marketing Specialist,Tech,AngelList,2024-09-25,,,,,Hired
C01044,Product Manager,HR,AngelList,2024-11-28,2024-12-04,2024-12-07,2024-12-11,2024-12-17,Hired
C01045,Marketing Specialist,Marketing,Naukri,2024-02-24,2024-03-03,2024-03-05,2024-03-07,,Dropped
C01046,HR Manager,Tech,Naukri,2024-10-24,2024-11-02,,,,Dropped
C01047,Software Engineer,Sales,Company Website,2024-03-19,2024-03-27,2024-04-08,2024-04-11,,Dropped
C01048,Marketing Specialist,HR,Company Website,2024-05-02,2024-05-03,,,,Hired
C01049,Data Scientist,Sales,Company Website,2025-05-27,,,,,Hired
C01050,Product Manager,Marketing,AngelList,2024-03-17,2024-03-24,2024-04-06,,,Rejected
C01051,Marketing Specialist,HR,Referral,2025-07-23,2025-07-24,,,,Rejected
C01052,Sales Executive,Sales,Naukri,2025-08-21,,,,,Dropped
C01053,Marketing Specialist,Sales,Naukri,2024-09-06,2024-09-08,2024-09-21,2024-09-27,,Dropped
C01054,Data Scientist,HR,AngelList,2023-10-19,2023-10-20,2023-10-31,,,Hired
C01055,HR Manager,Product,Company Website,2023-11-02,2023-11-04,2023-11-09,2023-11-10,2023-11-21,Hired
C01056,Software Engineer,Product,Referral,2025-03-26,,,,,Hired
C01057,Sales Executive,Marketing,Referral,2025-06-02,2025-06-08,,,,Rejected
C01058,Data Scientist,Tech,LinkedIn,2024-01-12,2024-01-18,,,,Dropped
C01059,Marketing Specialist,Tech,AngelList,2024-10-11,2024-10-19,2024-10-23,2024-11-01,,Dropped
C01060,Data Scientist,HR,Company Website,2025-05-19,2025-05-27,2025-05-28,2025-06-06,2025-06-14,Hired
C01061,Product Manager,HR,Company Website,2024-09-23,2024-10-01,2024-10-12,,,Dropped
C01062,Data Scientist,HR,Referral,2024-11-16,,,,,Hired
C01063,Software Engineer,HR,Referral,2023-12-05,2023-12-09,2023-12-21,2023-12-23,,Dropped
C01064,Software Engineer,Product,Company Website,2024-10-26,2024-10-29,2024-11-06,2024-11-14,,Dropped
C01065,Data Scientist,Marketing,Referral,2024-03-26,2024-03-29,2024-04-08,,,Dropped
C01066,Product Manager,Sales,AngelList,2025-09-13,2025-09-22,2025-09-25,,,Rejected
C01067,Sales Executive,Sales,AngelList,2025-02-15,2025-02-18,,,,Rejected
C01068,Marketing Specialist,Product,Naukri,2024-08-04,2024-08-05,2024-08-09,2024-08-18,2024-08-19,Hired
C01069,Sales Executive,Marketing,Naukri,2024-11-11,,,,,Dropped
C01070,Product Manager,HR,Referral,2025-02-13,2025-02-14,2025-02-17,2025-02-24,,Rejected
C01071,HR Manager,Tech,AngelList,2024-11-09,2024-11-11,2024-11-22,2024-11-27,,Rejected
C01072,Software Engineer,Product,Company Website,2023-11-17,2023-11-25,2023-12-07,,,Rejected
C01073,HR Manager,Product,AngelList,2023-10-25,,,,,Dropped
C01074,Marketing Specialist,HR,AngelList,2024-09-24,2024-10-03,2024-10-16,2024-10-26,,Rejected
C01075,Product Manager,Product,Company Website,2024-01-23,2024-02-01,2024-02-05,2024-02-07,2024-02-13,Hired
C01076,Marketing Specialist,Sales,AngelList,2023-10-25,2023-10-30,2023-11-07,2023-11-17,,Rejected
C01077,HR Manager,HR,Company Website,2024-12-28,,,,,Hired
C01078,Product Manager,Sales,Referral,2024-01-18,2024-01-27,2024-01-31,2024-02-09,,Rejected
C01079,Sales Executive,HR,AngelList,2024-06-16,2024-06-17,2024-06-19,2024-06-24,,Dropped
C01080,Sales Executive,Tech,AngelList,2025-08-28,2025-09-03,2025-09-11,2025-09-18,2025-10-03,Hired
C01081,HR Manager,Sales,Company Website,2024-06-07,2024-06-09,2024-06-15,,,Dropped
C01082,HR Manager,HR,AngelList,2025-08-30,2025-08-31,,,,Hired
C01083,Software Engineer,Product,Naukri,2024-12-14,,,,,Dropped
C01084,Sales Executive,Product,Company Website,2024-06-15,2024-06-17,2024-06-22,2024-06-30,,Rejected
C01085,Software Engineer,Marketing,Naukri,2025-08-13,2025-08-21,2025-08-22,,,Hired
C01086,HR Manager,HR,AngelList,2024-04-04,2024-04-08,2024-04-13,2024-04-19,2024-04-27,Hired
C01087,Marketing Specialist,Tech,Company Website,2024-04-08,2024-04-17,2024-04-25,2024-04-28,2024-05-09,Hired
C01088,Product Manager,Marketing,LinkedIn,2025-08-03,2025-08-06,,,,Hired
C01089,Sales Executive,Product,LinkedIn,2025-06-28,2025-07-08,2025-07-11,2025-07-20,2025-08-08,Hired
C01090,Product Manager,Tech,Referral,2024-12-16,2024-12-20,2024-12-29,2025-01-06,2025-01-12,Hired
C01091,Software Engineer,HR,AngelList,2025-08-15,2025-08-19,2025-08-31,2025-09-08,2025-09-09,Hired
C01092,Software Engineer,Product,LinkedIn,2023-12-26,2023-12-31,,,,Hired
C01093,Data Scientist,Marketing,Naukri,2024-07-13,2024-07-17,2024-07-24,2024-07-28,,Dropped
C01094,Marketing Specialist,Product,LinkedIn,2025-03-03,2025-03-12,2025-03-19,,,Dropped
C01095,Sales Executive,Sales,LinkedIn,2024-02-04,2024-02-07,2024-02-11,2024-02-15,,Dropped
C01096,Sales Executive,Marketing,LinkedIn,2024-01-10,2024-01-17,2024-01-23,,,Rejected
C01097,Software Engineer,Product,Naukri,2025-02-02,2025-02-04,2025-02-13,2025-02-21,,Dropped
C01098,Marketing Specialist,Marketing,AngelList,2023-12-20,2023-12-23,2023-12-29,2024-01-02,,Rejected
C01099,Product Manager,HR,AngelList,2025-04-26,2025-05-01,2025-05-08,2025-05-09,2025-05-13,Hired
C01100,Sales Executive,Sales,Naukri,2023-10-21,2023-10-25,2023-11-07,,,Rejected
C01101,Software Engineer,Sales,Company Website,2024-04-19,2024-04-22,,,,Rejected
C01102,Data Scientist,Product,Naukri,2025-03-08,2025-03-12,2025-03-24,2025-03-27,,Dropped
C01103,HR Manager,Marketing,LinkedIn,2024-12-14,2024-12-21,2024-12-24,2025-01-02,2025-01-20,Hired
C01104,Sales Executive,Marketing,Naukri,2024-05-04,2024-05-08,,,,Hired
C01105,Marketing Specialist,Marketing,Naukri,2025-02-12,2025-02-17,2025-02-23,2025-02-25,2025-03-07,Hired
C01106,HR Manager,Sales,LinkedIn,2024-07-22,2024-07-27,2024-07-29,,,Rejected
C01107,Product Manager,Product,AngelList,2025-04-19,2025-04-24,2025-04-29,,,Rejected
C01108,Data Scientist,Marketing,AngelList,2023-12-29,2024-01-06,2024-01-09,2024-01-11,,Dropped
C01109,Sales Executive,Product,LinkedIn,2025-01-22,2025-01-31,2025-02-03,2025-02-08,,Dropped
C01110,HR Manager,Tech,Naukri,2024-12-06,2024-12-15,,,,Rejected
C01111,Marketing Specialist,HR,LinkedIn,2023-09-29,2023-10-02,2023-10-04,2023-10-11,2023-10-20,Hired
C01112,HR Manager,HR,AngelList,2024-02-26,2024-03-07,,,,Dropped
C01113,Software Engineer,HR,AngelList,2024-08-19,2024-08-26,2024-09-05,2024-09-14,2024-09-29,Hired
C01114,HR Manager,Marketing,Referral,2025-01-05,2025-01-13,2025-01-19,,,Dropped
C01115,Product Manager,HR,LinkedIn,2025-03-20,2025-03-30,2025-04-07,2025-04-17,,Dropped
C01116,HR Manager,Marketing,Company Website,2025-01-28,2025-02-03,2025-02-04,,,Dropped
C01117,Product Manager,HR,Naukri,2025-01-27,2025-01-29,2025-02-09,,,Rejected
C01118,Product Manager,Sales,Referral,2024-08-15,2024-08-20,2024-08-30,,,Rejected
C01119,Marketing Specialist,Marketing,Company Website,2023-11-28,2023-12-02,,,,Dropped
C01120,Software Engineer,Marketing,Naukri,2024-01-28,2024-02-06,,,,Dropped
C01121,Data Scientist,Product,LinkedIn,2024-09-24,2024-09-28,2024-09-29,2024-10-01,,Dropped
C01122,Product Manager,HR,AngelList,2023-11-23,2023-11-30,2023-12-15,2023-12-23,2024-01-10,Hired
C01123,HR Manager,Sales,AngelList,2024-08-14,2024-08-21,2024-08-26,,,Dropped
C01124,Marketing Specialist,Sales,AngelList,2024-02-16,,,,,Hired
C01125,HR Manager,Product,Company Website,2025-08-22,2025-08-24,2025-09-04,2025-09-11,,Rejected
C01126,Product Manager,Tech,Company Website,2023-11-22,2023-12-02,2023-12-14,,,Hired
C01127,Marketing Specialist,HR,Company Website,2025-05-05,2025-05-15,2025-05-19,2025-05-24,,Rejected
C01128,HR Manager,Tech,Referral,2025-05-07,2025-05-10,2025-05-23,,,Dropped
C01129,Sales Executive,Sales,Referral,2024-08-23,2024-09-02,2024-09-13,,,Dropped
C01130,Software Engineer,Marketing,Company Website,2024-06-28,2024-07-05,,,,Rejected
C01131,HR Manager,Product,Company Website,2024-11-29,2024-12-07,,,,Dropped
C01132,Software Engineer,Sales,Referral,2025-06-04,2025-06-06,,,,Rejected
C01133,Product Manager,HR,Naukri,2023-10-04,2023-10-05,,,,Rejected
C01134,Product Manager,Product,Referral,2024-04-30,2024-05-02,2024-05-03,2024-05-04,,Dropped
C01135,Product Manager,Tech,Naukri,2024-03-06,2024-03-14,,,,Hired
C01136,Software Engineer,Marketing,Referral,2024-08-08,2024-08-18,2024-08-31,2024-09-09,2024-09-17,Hired
C01137,HR Manager,Product,Referral,2023-12-30,2024-01-01,2024-01-02,2024-01-04,,Dropped
C01138,Sales Executive,Product,Referral,2024-03-03,2024-03-13,2024-03-16,2024-03-24,,Rejected
C01139,Software Engineer,Sales,AngelList,2025-09-06,2025-09-13,2025-09-27,2025-10-05,,Rejected
C01140,Marketing Specialist,Marketing,Referral,2024-07-03,2024-07-08,,,,Rejected
C01141,Sales Executive,Marketing,Naukri,2025-03-31,2025-04-02,2025-04-07,2025-04-10,,Dropped
C01142,HR Manager,Marketing,LinkedIn,2025-05-03,2025-05-04,2025-05-08,2025-05-11,,Dropped
C01143,HR Manager,Marketing,Naukri,2024-05-03,2024-05-12,2024-05-14,2024-05-20,2024-06-08,Hired
C01144,Software Engineer,Marketing,AngelList,2025-08-20,2025-08-29,2025-09-12,2025-09-22,2025-10-12,Hired
C01145,Data Scientist,Sales,Company Website,2024-07-18,2024-07-24,2024-08-05,2024-08-13,2024-09-02,Hired
C01146,Sales Executive,Marketing,Naukri,2025-02-28,2025-03-10,2025-03-16,2025-03-24,2025-04-12,Hired
C01147,Product Manager,Sales,AngelList,2024-11-22,2024-12-02,2024-12-16,2024-12-23,,Rejected
C01148,Sales Executive,Sales,AngelList,2024-09-19,2024-09-20,2024-10-02,2024-10-03,,Dropped
C01149,HR Manager,Marketing,Naukri,2025-05-11,2025-05-15,2025-05-27,2025-05-29,,Rejected
C01150,Marketing Specialist,Tech,LinkedIn,2024-10-24,2024-10-29,2024-11-02,2024-11-06,2024-11-17,Hired
C01151,HR Manager,HR,Company Website,2024-01-06,2024-01-13,2024-01-27,,,Dropped
C01152,Software Engineer,Marketing,Naukri,2025-03-05,2025-03-14,2025-03-24,2025-03-31,2025-04-14,Hired
C01153,Data Scientist,HR,Naukri,2024-03-10,2024-03-20,2024-03-26,2024-04-03,,Rejected
C01154,Product Manager,Sales,Company Website,2024-03-13,2024-03-20,,,,Hired
C01155,Sales Executive,Tech,LinkedIn,2024-04-03,2024-04-05,2024-04-07,,,Dropped
